Epoch,Generator Loss,Critic Loss,Wasserstein Distance,Gradient Penalty,D_real,D_fake
1,-0.015148578211665154,0.2346884310245514,-0.015014000935479999,0.021967442706227303,0.0008103449363261461,0.015824345871806145
2,-0.01933465339243412,1.3768410682678223,-0.01418997251221299,0.1362651139497757,-0.01420307345688343,-1.3100944670441095e-05
3,-0.008111153729259968,0.7627018094062805,-0.00945932068862021,0.07532425224781036,-0.006085533183068037,0.0033737875055521727
4,0.01021946407854557,0.21770982444286346,-0.01051238365471363,0.0207197442650795,-0.0345633439719677,-0.024050960317254066
5,0.022874992340803146,0.009735709987580776,-0.008020475506782532,0.00017152341024484485,-0.029723310843110085,-0.021702835336327553
6,0.006165212485939264,0.3081246316432953,-0.007700786925852299,0.030042383819818497,-0.01591685600578785,-0.00821606907993555
7,0.011845085769891739,3.424116611480713,-0.004450817592442036,0.34196656942367554,-0.01886514574289322,-0.014414328150451183
8,0.036162082105875015,0.9064828157424927,-0.007249851245433092,0.08992329984903336,-0.009232264943420887,-0.001982413697987795
9,0.031758274883031845,0.029346877709031105,-0.008975503966212273,0.0020371372811496258,-0.029208920896053314,-0.02023341692984104
10,0.033054742962121964,0.1762343794107437,-0.008488569408655167,0.016774581745266914,-0.0370580330491066,-0.02856946364045143
11,0.013427767902612686,0.1110665425658226,-0.010565717704594135,0.010050082579255104,-0.006049774121493101,0.004515943583101034
12,0.011712647043168545,0.16468293964862823,-0.01051321066915989,0.01541697233915329,-0.021743016317486763,-0.011229805648326874
13,0.0018145403591915965,0.6209812760353088,-0.007591904141008854,0.061338938772678375,0.009472071193158627,0.01706397533416748
14,0.00149893993511796,0.6150534749031067,-0.00917550828307867,0.0605878010392189,-0.01871274597942829,-0.00953723769634962
15,0.014598962850868702,0.6804065108299255,-0.00916435569524765,0.06712421774864197,-0.029615076258778572,-0.020450720563530922
16,0.03277250751852989,0.106850266456604,-0.011349881067872047,0.00955003872513771,-0.035335853695869446,-0.0239859726279974
16,0.02164316363632679,0.17465224862098694,-0.008910425007343292,0.016574181616306305,-0.018324432894587517,-0.009414007887244225
17,0.009379846975207329,0.626200258731842,-0.009696342516690493,0.061650387942790985,-0.0168672613799572,-0.0071709188632667065
18,0.019307797774672508,0.6419832110404968,-0.01066567376255989,0.06313175708055496,-0.032465316355228424,-0.021799642592668533
19,0.012273906730115414,0.1150420680642128,-0.010315216146409512,0.010472685098648071,-0.017887011170387268,-0.0075717950239777565
20,0.06527058035135269,0.021846815943717957,-0.010955680161714554,0.0010891136480495334,-0.06586002558469772,-0.05490434542298317
21,0.04782523959875107,0.024199778214097023,-0.009769290685653687,0.001443048706278205,-0.06348621100187302,-0.05371692031621933
22,0.0474017895758152,0.016405925154685974,-0.00947437435388565,0.0006931550451554358,-0.06243867427110672,-0.05296429991722107
23,-0.009443691931664944,0.08695316314697266,-0.008227199548855424,0.007872596383094788,-0.005527792032808065,0.0026994075160473585
24,0.0003564116486813873,0.016230721026659012,-0.011311405338346958,0.0004919316852465272,-0.015816109254956245,-0.004504703916609287
25,0.008614103309810162,0.02832021936774254,-0.009166491217911243,0.0019153726752847433,-0.019232988357543945,-0.010066497139632702
26,-0.003146355040371418,0.09782857447862625,-0.007900071330368519,0.008992849849164486,0.008646548725664616,0.016546620056033134
27,0.059911929070949554,0.615677535533905,-0.011840838938951492,0.060383670032024384,-0.07202374190092087,-0.060182902961969376
28,0.05487533286213875,0.8282467722892761,-0.009263761341571808,0.08189830183982849,-0.05557817965745926,-0.04631441831588745
29,0.06365885585546494,0.058106034994125366,-0.009420648217201233,0.004868538584560156,-0.07270172983407974,-0.06328108161687851
30,0.05630572512745857,0.014575140550732613,-0.010110002011060715,0.00044651381904259324,-0.06452863663434982,-0.05441863462328911
31,0.0998036339879036,0.03354161977767944,-0.005708873271942139,0.0027832745108753443,-0.10703161358833313,-0.10132274031639099
32,0.03132796287536621,0.751157820224762,-0.01150103285908699,0.07396568357944489,-0.04998702555894852,-0.038485992699861526
33,0.025828892365098,0.8057565093040466,-0.01046709530055523,0.07952894270420074,-0.03949562460184097,-0.029028529301285744
34,0.054898615926504135,0.062412697821855545,-0.010078668594360352,0.005233402829617262,-0.06252596527338028,-0.05244729667901993
35,0.05659060552716255,0.015147276222705841,-0.010653287172317505,0.00044939893996343017,-0.06232192739844322,-0.05166864022612572
