Epoch,Generator Loss,Critic Loss,Wasserstein Distance,Gradient Penalty,D_real,D_fake,Gen_Acc,Critic_Acc
1,-0.5810314416885376,0.015596980229020119,-0.002173900604248047,0.001342308009043336,0.5792142152786255,0.5813881158828735,16.658124038954384,50.025627883136856
2,-0.43414971232414246,0.21132197976112366,-0.001325845718383789,0.020999614149332047,0.5314092040061951,0.5327350497245789,16.658124038954384,50.025627883136856
3,-0.6668956875801086,0.03395278379321098,-0.006323873996734619,0.002762890886515379,0.6288726329803467,0.6351965069770813,16.658124038954384,50.025627883136856
4,-0.345269113779068,0.05891900882124901,-0.0015905201435089111,0.005732848774641752,0.44857659935951233,0.45016711950302124,16.658124038954384,50.025627883136856
5,-0.4521070122718811,0.12549713253974915,-0.0022170543670654297,0.012328008189797401,0.5330076813697815,0.5352247357368469,16.658124038954384,50.025627883136856
6,-0.4189431667327881,0.016570843756198883,-0.0009461939334869385,0.0015624650986865163,0.3571486473083496,0.35809484124183655,16.658124038954384,50.025627883136856
7,-0.5040526390075684,0.004298449959605932,-0.00324055552482605,0.0001057894405676052,0.4937577545642853,0.49699831008911133,16.658124038954384,50.025627883136856
8,-0.5058907270431519,0.1750292181968689,-0.004788339138031006,0.01702408865094185,0.5290791392326355,0.5338674783706665,16.658124038954384,50.025627883136856
6,-0.45936110615730286,0.007229880429804325,-0.001292109489440918,0.0005937771056778729,0.45025181770324707,0.451543927192688,9.994874423372629,50.025627883136856
7,-0.6719309091567993,0.03439630568027496,-9.047985076904297e-05,0.003430582582950592,0.6152907609939575,0.6153812408447266,9.994874423372629,50.025627883136856
8,-0.5574865341186523,0.0060430485755205154,-0.0025280416011810303,0.00035150066833011806,0.4940923750400543,0.49662041664123535,9.994874423372629,50.025627883136856
9,-0.5125367641448975,0.14109677076339722,-0.0003623366355895996,0.014073442667722702,0.6385094523429871,0.6388717889785767,9.994874423372629,50.025627883136856
10,-0.49315497279167175,0.021805908530950546,-0.005175560712814331,0.0016630347818136215,0.4500158429145813,0.45519140362739563,9.994874423372629,50.025627883136856
11,-0.5489347577095032,0.0025425266940146685,-0.0023137927055358887,2.2873407942824997e-05,0.5442163944244385,0.5465301871299744,9.994874423372629,50.025627883136856
12,-0.6770627498626709,0.006852905265986919,-0.0015617609024047852,0.0005291144479997456,0.6339263319969177,0.6354880928993225,9.994874423372629,50.025627883136856
13,-0.592261791229248,0.002068109577521682,0.0003535151481628418,0.0002421624812996015,0.6140194535255432,0.6136659383773804,9.994874423372629,50.025627883136856
